CONUS10k,Tree_TCA,Tree_CONNECT_,Tree_CLUMPY,Tree_NDCA,Water_CLUMPY,Water_CA,Developed_CA
82174,497.25,1.5145,0.7558,140.0,0.7471,318.78,258.3
82175,343.98,1.9056,0.7702,116.0,0.7864,286.56,295.65
82176,226.35,1.7674,0.7066,91.0,0.8377,612.9,1251.54
82177,31.05,1.6112,0.5838,49.0,0.8906,329.04,1753.02
82178,12.24,1.3913,0.49,49.0,0.7018,24.48,261.9
82179,139.41,1.6993,0.6716,138.0,0.7921,184.68,791.37
82180,468.54,2.1326,0.8044,110.0,0.9132,695.25,271.98
82181,704.34,3.3573,0.8372,105.0,0.8919,582.84,517.41
82182,443.61,1.9058,0.8225,85.0,0.8979,751.41,329.13
82183,408.6,1.6589,0.7679,115.0,0.8606,1071.63,669.51
82184,230.58,1.5206,0.7339,82.0,0.7818,193.05,2352.78
82185,220.59,1.4603,0.7334,102.0,0.8164,126.81,422.55
82186,18.72,1.432,0.4982,64.0,0.7379,8.46,394.2
82187,1124.28,1.331,0.7393,358.0,0.7307,63.99,474.84
82188,582.21,1.6689,0.7425,219.0,0.8749,576.54,341.64
82189,1471.05,1.6678,0.7679,308.0,0.6527,63.72,499.77
82584,0.0,0.0,0.4736,0.0,NA,NA,206.91
82585,0.09,0.0,0.6666,1.0,NA,NA,152.55
82586,0.0,10.0,0.3333,0.0,NA,NA,206.1
82587,0.0,0.0,0.4285,0.0,0.7,1.26,231.39
82588,0.0,5.5556,0.1666,0.0,NA,NA,186.66
82589,0.0,19.4444,0.3199,0.0,NA,NA,252.45
82590,0.0,0.0,NA,0.0,NA,NA,241.83
82591,0.0,0.0,0.375,0.0,NA,NA,240.12
